,Date,Link,Newspaper Name,Corrected_Date,Headline_Keywords,Body_Keywords
32,24-Feb-20,https://www.washingtonpost.com/opinions/2020/02/23/robert-samuelson-trump-deficit/,The Washington Post,2/24/2020,"['Trump', 'deficits']","['economy', 'tax', 'growth', 'Trump', 'percent', 'CEA', 'rates', 'confidence', 'unemployment', 'rate', 'investment', 'policies', 'deficits', 'luck']"
33,24-Feb-20,https://www.washingtonpost.com/health/old-diseases-other-public-health-threats-reemerge-in-the-us/2020/02/21/efa65daa-4f6c-11ea-9b5c-eac5b16dafaa_story.html,The Washington Post,2/24/2020,"['diseases', 'health', 'threats', 'U.S.']","['health', 'people', 'infections', 'University', 'gonorrhea', 'life', 'CDC', 'professor', 'medicine', 'expectancy', 'treatment', 'fungi', 'diseases', 'Americans']"
34,25-Feb-20,https://www.washingtonpost.com/world/asia_pacific/for-hong-kong-refugees-new-life-in-taiwan-means-traversing-a-legal-twilight-zone/2020/02/23/c924a4d4-4648-11ea-91ab-ce439aa5c7c1_story.html,The Washington Post,2/25/2020,"['life', 'refugees', 'Taiwan', 'Kong', 'twilight', 'Hong', 'zone']","['Taiwan', 'Hong', 'Kong', 'Kongers', 'China', 'protesters', 'government', 'help', 'assistance', 'people', 'laws', 'case', 'island', 'secretary']"
35,25-Feb-20,https://www.washingtonpost.com/business/energy/the-clock-runsout-on-malaysias-new-beginning/2020/02/25/fa95ebf6-578f-11ea-8efd-0f904bdd8057_story.html,The Washington Post,2/25/2020,"['Clock', 'Malaysia', 'New', 'Beginning']","['Mahathir', 'Malaysia', 'minister', 'Anwar', 'government', 'year', 'contracts', 'state', 'home', 'investment', 'economy', 'companies', 'politics', 'chance']"
36,25-Feb-20,https://www.washingtonpost.com/business/chinas-policy-flip-flops-are-scaring-investors/2020/02/24/a5196a56-5779-11ea-8efd-0f904bdd8057_story.html,The Washington Post,2/25/2020,"['Policy', 'Flip', 'Flops', 'China', 'Investors']","['Xi', 'China', 'officials', 'economy', 'Wuhan', 'speech', 'virus', 'levels', 'outbreak', 'Index', 'policies', 'provinces', 'morning', 'words']"
37,26-Feb-20,https://www.washingtonpost.com/opinions/2020/02/25/how-bolsonaros-risky-bet-china-amazon-could-backfire/,The Washington Post,2/26/2020,"['Bolsonaro', 'bet', 'China', 'Amazon']","['China', 'Amazon', 'Brazil', 'Bolsonaro', 'beef', 'soy', 'country', 'percent', 'trade', 'cost', 'demand', 'ability', 'United', 'reporter']"
38,26-Feb-20,https://www.washingtonpost.com/opinions/does-mike-bloomberg-really-have-a-problem-with-women/2020/02/25/99dab79e-580a-11ea-ab68-101ecfec2532_story.html,The Washington Post,2/26/2020,"['misfires', 'Bloomberg']","['Clark', 'Bloomberg', 'women', 'firm', 'today', 'woman', 'men', 'jokes', 'Weinstein', 'Salomon', 'man', 'boys', 'workplace', 'behavior']"
39,26-Feb-20,https://www.washingtonpost.com/opinions/we-need-sustained-funding-to-fight-pandemics/2020/02/25/34b5789a-574c-11ea-8efd-0f904bdd8057_story.html,The Washington Post,2/26/2020,"['funding', 'pandemics']","['countries', 'project', 'Africa', 'capacity', 'P&R', 'covid-19', 'USAID', 'funding', 'funds', 'preparedness', 'Ebola', 'essay', 'H1N1', 'Liberia']"
40,27-Feb-20,https://www.washingtonpost.com/business/a-bailout-wont-help-chinas-tesla-wannabe-nio/2020/02/26/36a5ad74-58f4-11ea-8efd-0f904bdd8057_story.html,The Washington Post,2/27/2020,"['Bailout', 'China', 'Tesla', 'Wannabe', 'NIO']","['NIO', 'company', 'year', 'yuan', 'cash', 'China', 'quarter', 'Inc.', 'agreement', 'cost', 'Beijing', 'Holdings', 'plant', 'Tesla']"
41,27-Feb-20,https://www.washingtonpost.com/world/asia_pacific/specter-of-possible-new-virus-emerging-from-central-china-raises-alarms-across-asia/2020/01/08/3d33046c-312f-11ea-971b-43bec3ff9860_story.html,The Washington Post,2/27/2020,"['virus', 'China', 'alarms', 'Specter', 'Asia']","['health', 'Wuhan', 'disease', 'China', 'Hong', 'Kong', 'officials', 'cases', 'SARS', 'outbreak', 'people', 'Health', 'fever', 'pneumonia']"
